Introducing contestants...
* Player 1, weighing 320 bytes, "Jumper !" ("en fait C forker !") !
* Player 2, weighing 320 bytes, "Jumper !" ("en fait C forker !") !
cycle 0, carriage 1, op_code 3, car pos 2048
cycle 0, carriage 0, op_code 3, car pos 0

cycle 1, carriage 1, op_code 3, car pos 2048
cycle 1, carriage 0, op_code 3, car pos 0

cycle 2, carriage 1, op_code 3, car pos 2048
cycle 2, carriage 0, op_code 3, car pos 0

cycle 3, carriage 1, op_code 3, car pos 2048
cycle 3, carriage 0, op_code 3, car pos 0

cycle 4, carriage 1, op_code 3, car pos 2048
cycle 4, carriage 0, op_code 3, car pos 0

cycle 5, carriage 1, op_code 3, car pos 2048
cycle 5, carriage 0, op_code 3, car pos 0

cycle 6, carriage 1, op_code 3, car pos 2053
cycle 6, carriage 0, op_code 3, car pos 5

cycle 7, carriage 1, op_code 3, car pos 2053
cycle 7, carriage 0, op_code 3, car pos 5

cycle 8, carriage 1, op_code 3, car pos 2053
cycle 8, carriage 0, op_code 3, car pos 5

cycle 9, carriage 1, op_code 3, car pos 2053
cycle 9, carriage 0, op_code 3, car pos 5

cycle 10, carriage 1, op_code 3, car pos 2053
cycle 10, carriage 0, op_code 3, car pos 5

cycle 11, carriage 1, op_code 2, car pos 2058
cycle 11, carriage 0, op_code 2, car pos 10

cycle 12, carriage 1, op_code 2, car pos 2058
cycle 12, carriage 0, op_code 2, car pos 10

cycle 13, carriage 1, op_code 2, car pos 2058
cycle 13, carriage 0, op_code 2, car pos 10

cycle 14, carriage 1, op_code 2, car pos 2058
cycle 14, carriage 0, op_code 2, car pos 10

cycle 15, carriage 1, op_code 2, car pos 2058
cycle 15, carriage 0, op_code 2, car pos 10

cycle 16, carriage 1, op_code 2, car pos 2063
cycle 16, carriage 0, op_code 2, car pos 15

cycle 17, carriage 1, op_code 2, car pos 2063
cycle 17, carriage 0, op_code 2, car pos 15

cycle 18, carriage 1, op_code 2, car pos 2063
cycle 18, carriage 0, op_code 2, car pos 15

cycle 19, carriage 1, op_code 2, car pos 2063
cycle 19, carriage 0, op_code 2, car pos 15

cycle 20, carriage 1, op_code 2, car pos 2063
cycle 20, carriage 0, op_code 2, car pos 15

cycle 21, carriage 1, op_code 9, car pos 2070
cycle 21, carriage 0, op_code 9, car pos 22

cycle 22, carriage 1, op_code 9, car pos 2070
cycle 22, carriage 0, op_code 9, car pos 22

cycle 23, carriage 1, op_code 9, car pos 2070
cycle 23, carriage 0, op_code 9, car pos 22

cycle 24, carriage 1, op_code 9, car pos 2070
cycle 24, carriage 0, op_code 9, car pos 22

cycle 25, carriage 1, op_code 9, car pos 2070
cycle 25, carriage 0, op_code 9, car pos 22

cycle 26, carriage 1, op_code 9, car pos 2070
cycle 26, carriage 0, op_code 9, car pos 22

cycle 27, carriage 1, op_code 9, car pos 2070
cycle 27, carriage 0, op_code 9, car pos 22

cycle 28, carriage 1, op_code 9, car pos 2070
cycle 28, carriage 0, op_code 9, car pos 22

cycle 29, carriage 1, op_code 9, car pos 2070
cycle 29, carriage 0, op_code 9, car pos 22

cycle 30, carriage 1, op_code 9, car pos 2070
cycle 30, carriage 0, op_code 9, car pos 22

cycle 31, carriage 1, op_code 9, car pos 2070
cycle 31, carriage 0, op_code 9, car pos 22

cycle 32, carriage 1, op_code 9, car pos 2070
cycle 32, carriage 0, op_code 9, car pos 22

cycle 33, carriage 1, op_code 9, car pos 2070
cycle 33, carriage 0, op_code 9, car pos 22

cycle 34, carriage 1, op_code 9, car pos 2070
cycle 34, carriage 0, op_code 9, car pos 22

cycle 35, carriage 1, op_code 9, car pos 2070
cycle 35, carriage 0, op_code 9, car pos 22

cycle 36, carriage 1, op_code 9, car pos 2070
cycle 36, carriage 0, op_code 9, car pos 22

cycle 37, carriage 1, op_code 9, car pos 2070
cycle 37, carriage 0, op_code 9, car pos 22

cycle 38, carriage 1, op_code 9, car pos 2070
cycle 38, carriage 0, op_code 9, car pos 22

cycle 39, carriage 1, op_code 9, car pos 2070
cycle 39, carriage 0, op_code 9, car pos 22

cycle 40, carriage 1, op_code 9, car pos 2070
cycle 40, carriage 0, op_code 9, car pos 22

cycle 41, carriage 1, op_code 11, car pos 2125
cycle 41, carriage 0, op_code 11, car pos 77

cycle 42, carriage 1, op_code 11, car pos 2125
cycle 42, carriage 0, op_code 11, car pos 77

cycle 43, carriage 1, op_code 11, car pos 2125
cycle 43, carriage 0, op_code 11, car pos 77

cycle 44, carriage 1, op_code 11, car pos 2125
cycle 44, carriage 0, op_code 11, car pos 77

cycle 45, carriage 1, op_code 11, car pos 2125
cycle 45, carriage 0, op_code 11, car pos 77

cycle 46, carriage 1, op_code 11, car pos 2125
cycle 46, carriage 0, op_code 11, car pos 77

cycle 47, carriage 1, op_code 11, car pos 2125
cycle 47, carriage 0, op_code 11, car pos 77

cycle 48, carriage 1, op_code 11, car pos 2125
cycle 48, carriage 0, op_code 11, car pos 77

cycle 49, carriage 1, op_code 11, car pos 2125
